"song_name","artist_name","played_at","timestamp"
"Travelin' Alone","Eric Clapton","2022-11-24T20:36:49.077Z","2022-11-24"
"Rocking Chair","Eric Clapton","2022-11-24T20:28:36.360Z","2022-11-24"
"River Runs Deep","Eric Clapton","2022-11-24T20:23:17.106Z","2022-11-24"
"Judgement Day","Eric Clapton","2022-11-24T20:15:54.615Z","2022-11-24"
"How Deep Is the Ocean","Eric Clapton","2022-11-24T20:11:38.905Z","2022-11-24"
"My Very Good Friend the Milkman","Eric Clapton","2022-11-24T20:07:20.472Z","2022-11-24"
"Can't Hold Out Much Longer","Eric Clapton","2022-11-24T20:02:06.855Z","2022-11-24"
"That's No Way to Get Along","Eric Clapton","2022-11-24T19:52:13.316Z","2022-11-24"
"Everything Will Be Alright","Eric Clapton","2022-11-24T19:47:35.712Z","2022-11-24"
"Diamonds Made from Rain","Eric Clapton","2022-11-24T19:42:51.094Z","2022-11-24"
"When Somebody Thinks You're Wonderful","Eric Clapton","2022-11-24T19:35:24.854Z","2022-11-24"
"Hard Times Blues","Eric Clapton","2022-11-24T19:28:19.873Z","2022-11-24"
"Run Back to Your Side","Eric Clapton","2022-11-24T18:35:47.581Z","2022-11-24"
"Autumn Leaves","Eric Clapton","2022-11-24T18:14:40.986Z","2022-11-24"
"Riding with the King","Eric Clapton","2022-11-24T18:11:44.834Z","2022-11-24"
"Ten Long Years","Eric Clapton","2022-11-24T18:08:47.208Z","2022-11-24"
"Key to the Highway","Eric Clapton","2022-11-24T18:06:24.270Z","2022-11-24"
"Marry You","Eric Clapton","2022-11-24T18:00:58.907Z","2022-11-24"
"Three O'Clock Blues","Eric Clapton","2022-11-24T16:56:03.404Z","2022-11-24"
